id,type,title,status,collector,materials,date,dimensions,image1,image2,sound1,video1,video2
ATGCHM,painting,untitled,disassembled,,acrylic on canvas,2010,"154"" x 59""",ATGCHM.jpg,ATGCHM.detail.1.jpg:ATGCHM.detail.2.jpg,ATGCHM.mp3:ATGCHM.mov:ATGCHM.ogg,,
BAdd4,sculpture,Badd4 (about 10 cents flat),available,,"metal, wood, electronics",2004,"21"" x 12"" x 17""",BAdd4.jpg,,BAdd4.mov:BAdd4.mp3:BAdd4.ogg,,
BrainScanner,sculpture,Brain Scanner,disassembled,,"metal, electronics",2008,"119"" x 34"" x 45""",BrainScanner.jpg,,BrainScanner.mp3:BrainScanner.ogg:BrainScanner.mov,,
Dacians,painting,and no Dacians died...,sold,Blake Byrne,acrylic on cardboard,2009,"100"" x 16"" x 16""",Dacians.jpg,,,,
DIFYG,sculpture,Do It For Your Girlfriend,available,,"metal, wood, found objects, electronics",2001,"42"" x 18"" x 19""",DIFYG.jpg,,DIFYG.mp3:DIFYG.mov:DIFYG.ogg,,
Dinger,sculpture,Dinger,destroyed,,"metal, found objects",1991,,Dinger.jpg,Dinger.detail.1.jpg,,,
EDF,sculpture,Environmental Distortion Feedbacker,destroyed,,"metal, electronics",2005,"12"" x 25"" x 14""",EDF.jpg,,EDF.mov:EDF.mp3:EDF.ogg,,
GAN,functional painting,GODANDNOTHING.(blue),available,,"metal, electronics, oil on canvas",2008,"92"" x 10"" x 9""",GAN.jpg,GAN.detail.1.jpg,,GAN.mov:GAN.webm:GAN.ogv,
ToneHarp,sculpture,Tone Harp,sold,Cindy Gunadi,"metal, electronics",2006,"65"" x 18"" x 14""",ToneHarp.jpg,ToneHarp.detail.1.jpg,ToneHarp.mov:ToneHarp.mp3:ToneHarp.ogg,,
JLY,painting,untitled,unknown,,acrylic on masonite,2009,"46"" x 54""",JLY.jpg,,JLY.mov:JLY.mp3:JLY.ogg,,
MachineI,sculpture,Machine I,destroyed,,"metal, wood, found objects, electronics",1998,"108"" x 72"" x 18""",MachineI.jpg,MachineI.detail.1.jpg:MachineI.detail.2.jpg:MachineI.detail.3.jpg,MachineI.mov:MachineI.mp3:MachineI.ogg,,
MachineII,sculpture,Machine II,destroyed,,"metal, found objects, electronics",2001,"108"" x 50"" x 14""",MachineII.jpg,MachineII.detail.1.jpg:MachineII.detail.2.jpg:MachineII.detail.3.jpg,MachineII.mov:MachineII.mp3:MachineII.ogg,,
ML,painting,untitled,available,,acrylic on masonite,2009,"54"" x 72""",ML.jpg,,ML.mov:ML.mp3:ML.ogg,,
